,C
Switzerland,-3146717.181
Fulton,-3163712.41
Jefferson,-3168963.462
Madison,-3171498.656
Wayne,-3177986.719
Ripley,-3191490.043
Tipton,-3192732.494
Carroll,-3193304.396
Gibson,-3193845.415
Floyd,-3194908.844
Daviess,-3195778.656
Jackson,-3196205.563
Marshall,-3199049.795
Harrison,-3199444.813
St. Joseph,-3200240.439
Perry,-3201421.878
Spencer,-3203223.395
Pulaski,-3204264.347
Allen,-3206418.234
Lake,-3210589.963
Hendricks,-3217402.885
Pike,-3220553.863
Sullivan,-3222766.56
Jay,-3222910.678
Starke,-3223044.679
Jennings,-3232408.775
Tippecanoe,-3234424.945
Hancock,-3234586.56
Randolph,-3241006.404
Johnson,-3241350.842
Clinton,-3243790.623
Elkhart,-3243888.731
Kosciusko,-3246720.651
Morgan,-3246866.808
Boone,-3248960.071
Fayette,-3251364.275
Putnam,-3252584.429
Shelby,-3253408.899
Noble,-3256055.612
Knox,-3257374.214
Howard,-3257748.899
Ohio,-3259710.37
Fountain,-3260547.809
Porter,-3264288.83
Monroe,-3267366.108
Hamilton,-3272373.789
Dubois,-3273047.092
Warrick,-3275153.789
Newton,-3276617.832
LaGrange,-3281060.668
Crawford,-3281371.547
Huntington,-3282019.334
Owen,-3282623.692
Clay,-3285329.682
White,-3286192.324
Scott,-3287837.439
La Porte,-3290377.257
Whitley,-3294527.001
Adams,-3295956.52
DeKalb,-3299071.151
Bartholomew,-3306804.45
Decatur,-3308961.071
Brown,-3310221.071
Delaware,-3311544.688
Dearborn,-3311560.918
Posey,-3311734.502
Franklin,-3312284.613
Martin,-3314701.877
Clark,-3316533.781
Rush,-3316971.174
Union,-3318077.478
Greene,-3321818.494
Vermillion,-3324319.094
Warren,-3324967.282
Blackford,-3326111.418
Miami,-3326145.987
Vanderburgh,-3326808.045
Wabash,-3326875.598
Lawrence,-3327072.515
Wells,-3327459.094
Marion,-3328256.528
Henry,-3330106.305
Cass,-3330309.707
Jasper,-3334515.806
Montgomery,-3336149.169
Steuben,-3343450.612
Parke,-3352183.865
Benton,-3355219.772
Vigo,-3357579.776
Grant,-3363978.399
Washington,-3371276.682
Orange,-3372825.104
