county,month,wind_speed
Adams,1,11.1
Adams,2,11.2
Adams,3,10.3
Adams,4,6.5
Adams,5,8.8
Adams,6,7.7
Adams,7,6.2
Adams,8,6.8
Adams,9,6
Adams,10,9.8
Adams,11,10.1
Adams,12,7.6
Allen,1,13.7
Allen,2,12.5
Allen,3,8.7
Allen,4,10.5
Allen,5,8.2
Allen,6,10.2
Allen,7,6.5
Allen,8,6.2
Allen,9,6.5
Allen,10,9.9
Allen,11,7.8
Allen,12,8.5
Bartholomew,1,10.3
Bartholomew,2,10.8
Bartholomew,3,10.3
Bartholomew,4,11.3
Bartholomew,5,7.9
Bartholomew,6,5.5
Bartholomew,7,7.1
Bartholomew,8,4.5
Bartholomew,9,7.2
Bartholomew,10,6.9
Bartholomew,11,9
Bartholomew,12,9.3
Benton,1,8.7
Benton,2,10.4
Benton,3,11.8
Benton,4,9.3
Benton,5,8.8
Benton,6,6.6
Benton,7,8.4
Benton,8,6
Benton,9,7.4
Benton,10,7.5
Benton,11,8.6
Benton,12,10.7
Blackford,1,11.1
Blackford,2,11.7
Blackford,3,10.6
Blackford,4,9.5
Blackford,5,8.7
Blackford,6,8.3
Blackford,7,7.3
Blackford,8,3.6
Blackford,9,4.4
Blackford,10,9.5
Blackford,11,12.6
Blackford,12,7.8
Boone,1,12.7
Boone,2,11.2
Boone,3,9.9
Boone,4,11.4
Boone,5,7.8
Boone,6,8.7
Boone,7,6.5
Boone,8,7.1
Boone,9,7.8
Boone,10,9
Boone,11,8
Boone,12,9.6
Brown,1,11
Brown,2,11.2
Brown,3,10.6
Brown,4,10.2
Brown,5,6.7
Brown,6,10.6
Brown,7,4.3
Brown,8,7.5
Brown,9,8.2
Brown,10,5.8
Brown,11,9.1
Brown,12,10.6
Carroll,1,10.2
Carroll,2,8.3
Carroll,3,9.8
Carroll,4,9.7
Carroll,5,8.9
Carroll,6,9.8
Carroll,7,9.2
Carroll,8,6.7
Carroll,9,9.3
Carroll,10,11.1
Carroll,11,9
Carroll,12,8
Cass,1,10.7
Cass,2,11.5
Cass,3,11.6
Cass,4,10.3
Cass,5,10.6
Cass,6,6.3
Cass,7,6.8
Cass,8,9.1
Cass,9,6.4
Cass,10,8
Cass,11,8
Cass,12,11.1
Clark,1,10.1
Clark,2,10.4
Clark,3,10
Clark,4,10.5
Clark,5,10.2
Clark,6,9.7
Clark,7,6.8
Clark,8,5.9
Clark,9,7
Clark,10,9.7
Clark,11,10
Clark,12,12.4
Clay,1,10.4
Clay,2,13.8
Clay,3,9.4
Clay,4,12.7
Clay,5,11.4
Clay,6,7.7
Clay,7,8.8
Clay,8,6
Clay,9,6.5
Clay,10,8.3
Clay,11,8.6
Clay,12,13.4
Clinton,1,10
Clinton,2,9.6
Clinton,3,11.5
Clinton,4,6
Clinton,5,9
Clinton,6,8.6
Clinton,7,8.7
Clinton,8,4.9
Clinton,9,7.9
Clinton,10,4.7
Clinton,11,10.6
Clinton,12,9
Crawford,1,11.9
Crawford,2,10.9
Crawford,3,12.5
Crawford,4,7.2
Crawford,5,10
Crawford,6,6.4
Crawford,7,4.3
Crawford,8,6.8
Crawford,9,7.1
Crawford,10,6.2
Crawford,11,7.5
Crawford,12,8.7
Daviess,1,12.8
Daviess,2,10.8
Daviess,3,12
Daviess,4,12
Daviess,5,10.6
Daviess,6,9.3
Daviess,7,6.6
Daviess,8,6.8
Daviess,9,6.5
Daviess,10,8.9
Daviess,11,8.8
Daviess,12,12.8
Dearborn,1,10.5
Dearborn,2,14.4
Dearborn,3,13.2
Dearborn,4,11.2
Dearborn,5,9.9
Dearborn,6,7.6
Dearborn,7,10.2
Dearborn,8,4
Dearborn,9,5.2
Dearborn,10,9
Dearborn,11,10.4
Dearborn,12,6.7
Decatur,1,8.9
Decatur,2,11.2
Decatur,3,14.1
Decatur,4,9.9
Decatur,5,9.7
Decatur,6,9.6
Decatur,7,6.1
Decatur,8,6.2
Decatur,9,4.2
Decatur,10,11.1
Decatur,11,6.4
Decatur,12,8.4
DeKalb,1,10.9
DeKalb,2,13.5
DeKalb,3,12.6
DeKalb,4,10.7
DeKalb,5,9.9
DeKalb,6,8.9
DeKalb,7,5.7
DeKalb,8,5.2
DeKalb,9,4.8
DeKalb,10,9.8
DeKalb,11,10.2
DeKalb,12,10.1
Delaware,1,10.9
Delaware,2,9.8
Delaware,3,10.5
Delaware,4,10.4
Delaware,5,8.9
Delaware,6,8.6
Delaware,7,9.1
Delaware,8,6
Delaware,9,5.7
Delaware,10,8.5
Delaware,11,9.5
Delaware,12,7.9
Dubois,1,12.2
Dubois,2,9.7
Dubois,3,11.5
Dubois,4,9.7
Dubois,5,5.6
Dubois,6,7.7
Dubois,7,5.5
Dubois,8,5.5
Dubois,9,6.3
Dubois,10,10.5
Dubois,11,8.2
Dubois,12,10.4
Elkhart,1,10.1
Elkhart,2,12.6
Elkhart,3,12
Elkhart,4,8.7
Elkhart,5,11.2
Elkhart,6,11.3
Elkhart,7,5.5
Elkhart,8,5.2
Elkhart,9,6.7
Elkhart,10,8.9
Elkhart,11,7.4
Elkhart,12,9.8
Fayette,1,10.6
Fayette,2,13.2
Fayette,3,12.4
Fayette,4,8.8
Fayette,5,7.8
Fayette,6,8.8
Fayette,7,5.2
Fayette,8,5.8
Fayette,9,8.4
Fayette,10,8.8
Fayette,11,9.9
Fayette,12,10.3
Floyd,1,11.5
Floyd,2,9.3
Floyd,3,10.7
Floyd,4,10.6
Floyd,5,10
Floyd,6,10.2
Floyd,7,5.9
Floyd,8,6.3
Floyd,9,5.1
Floyd,10,7.6
Floyd,11,7.8
Floyd,12,11
Fountain,1,9.5
Fountain,2,9.6
Fountain,3,12.9
Fountain,4,13.3
Fountain,5,10
Fountain,6,10.1
Fountain,7,8
Fountain,8,8.4
Fountain,9,6.5
Fountain,10,6.7
Fountain,11,9.7
