county,month,wind_speed,,,,,
Adams,2018-01,11.1,,,,,
Adams,2018-02,11.2,,,,,
Adams,2018-03,10.3,,,,,
Adams,2018-04,6.5,,,,,
Adams,2018-05,8.8,,,,,
Adams,2018-06,7.7,,,,,
Adams,2018-07,6.2,,,,,
Adams,2018-08,6.8,,,,,
Adams,2018-09,6.0,,,,,
Adams,2018-10,9.8,,,,,
Adams,2018-11,10.1,,,,,
Adams,2018-12,7.6,,,,,
Allen,2018-01,13.7,,,,,
Allen,2018-02,12.5,,,,,
Allen,2018-03,8.7,,,,,
Allen,2018-04,10.5,,,,,
Allen,2018-05,8.2,,,,,
Allen,2018-06,10.2,,,,,
Allen,2018-07,6.5,,,,,
Allen,2018-08,6.2,,,,,
Allen,2018-09,6.5,,,,,
Allen,2018-10,9.9,,,,,
Allen,2018-11,7.8,,,,,
Allen,2018-12,8.5,,,,,
Bartholomew,2018-01,10.3,,,,,
Bartholomew,2018-02,10.8,,,,,
Bartholomew,2018-03,10.3,,,,,
Bartholomew,2018-04,11.3,,,,,
Bartholomew,2018-05,7.9,,,,,
Bartholomew,2018-06,5.5,,,,,
Bartholomew,2018-07,7.1,,,,,
Bartholomew,2018-08,4.5,,,,,
Bartholomew,2018-09,7.2,,,,,
Bartholomew,2018-10,6.9,,,,,
Bartholomew,2018-11,9.0,,,,,
Bartholomew,2018-12,9.3,,,,,
Benton,2018-01,8.7,,,,,
Benton,2018-02,10.4,,,,,
Benton,2018-03,11.8,,,,,
Benton,2018-04,9.3,,,,,
Benton,2018-05,8.8,,,,,
Benton,2018-06,6.6,,,,,
Benton,2018-07,8.4,,,,,
Benton,2018-08,6.0,,,,,
Benton,2018-09,7.4,,,,,
Benton,2018-10,7.5,,,,,
Benton,2018-11,8.6,,,,,
Benton,2018-12,10.7,,,,,
Blackford,2018-01,11.1,,,,,
Blackford,2018-02,11.7,,,,,
Blackford,2018-03,10.6,,,,,
Blackford,2018-04,9.5,,,,,
Blackford,2018-05,8.7,,,,,
Blackford,2018-06,8.3,,,,,
Blackford,2018-07,7.3,,,,,
Blackford,2018-08,3.6,,,,,
Blackford,2018-09,4.4,,,,,
Blackford,2018-10,9.5,,,,,
Blackford,2018-11,12.6,,,,,
Blackford,2018-12,7.8,,,,,
Boone,2018-01,12.7,,,,,
Boone,2018-02,11.2,,,,,
Boone,2018-03,9.9,,,,,
Boone,2018-04,11.4,,,,,
Boone,2018-05,7.8,,,,,
Boone,2018-06,8.7,,,,,
Boone,2018-07,6.5,,,,,
Boone,2018-08,7.1,,,,,
Boone,2018-09,7.8,,,,,
Boone,2018-10,9.0,,,,,
Boone,2018-11,8.0,,,,,
Boone,2018-12,9.6,,,,,
Brown,2018-01,11.0,,,,,
Brown,2018-02,11.2,,,,,
Brown,2018-03,10.6,,,,,
Brown,2018-04,10.2,,,,,
Brown,2018-05,6.7,,,,,
Brown,2018-06,10.6,,,,,
Brown,2018-07,4.3,,,,,
Brown,2018-08,7.5,,,,,
Brown,2018-09,8.2,,,,,
Brown,2018-10,5.8,,,,,
Brown,2018-11,9.1,,,,,
Brown,2018-12,10.6,,,,,
Carroll,2018-01,10.2,,,,,
Carroll,2018-02,8.3,,,,,
Carroll,2018-03,9.8,,,,,
Carroll,2018-04,9.7,,,,,
Carroll,2018-05,8.9,,,,,
Carroll,2018-06,9.8,,,,,
Carroll,2018-07,9.2,,,,,
Carroll,2018-08,6.7,,,,,
Carroll,2018-09,9.3,,,,,
Carroll,2018-10,11.1,,,,,
Carroll,2018-11,9.0,,,,,
Carroll,2018-12,8.0,,,,,
Cass,2018-01,10.7,,,,,
Cass,2018-02,11.5,,,,,
Cass,2018-03,11.6,,,,,
Cass,2018-04,10.3,,,,,
Cass,2018-05,10.6,,,,,
Cass,2018-06,6.3,,,,,
Cass,2018-07,6.8,,,,,
Cass,2018-08,9.1,,,,,
Cass,2018-09,6.4,,,,,
Cass,2018-10,8.0,,,,,
Cass,2018-11,8.0,,,,,
Cass,2018-12,11.1,,,,,
Clark,2018-01,10.1,,,,,
Clark,2018-02,10.4,,,,,
Clark,2018-03,10.0,,,,,
Clark,2018-04,10.5,,,,,
Clark,2018-05,10.2,,,,,
Clark,2018-06,9.7,,,,,
Clark,2018-07,6.8,,,,,
Clark,2018-08,5.9,,,,,
Clark,2018-09,7.0,,,,,
Clark,2018-10,9.7,,,,,
Clark,2018-11,10.0,,,,,
Clark,2018-12,12.4,,,,,
Clay,2018-01,10.4,,,,,
Clay,2018-02,13.8,,,,,
Clay,2018-03,9.4,,,,,
Clay,2018-04,12.7,,,,,
Clay,2018-05,11.4,,,,,
Clay,2018-06,7.7,,,,,
Clay,2018-07,8.8,,,,,
Clay,2018-08,6.0,,,,,
Clay,2018-09,6.5,,,,,
Clay,2018-10,8.3,,,,,
Clay,2018-11,8.6,,,,,
Clay,2018-12,13.4,,,,,
Clinton,2018-01,10.0,,,,,
Clinton,2018-02,9.6,,,,,
Clinton,2018-03,11.5,,,,,
Clinton,2018-04,6.0,,,,,
Clinton,2018-05,9.0,,,,,
Clinton,2018-06,8.6,,,,,
Clinton,2018-07,8.7,,,,,
Clinton,2018-08,4.9,,,,,
Clinton,2018-09,7.9,,,,,
Clinton,2018-10,4.7,,,,,
Clinton,2018-11,10.6,,,,,
Clinton,2018-12,9.0,,,,,
Crawford,2018-01,11.9,,,,,
Crawford,2018-02,10.9,,,,,
Crawford,2018-03,12.5,,,,,
Crawford,2018-04,7.2,,,,,
Crawford,2018-05,10.0,,,,,
Crawford,2018-06,6.4,,,,,
Crawford,2018-07,4.3,,,,,
Crawford,2018-08,6.8,,,,,
Crawford,2018-09,7.1,,,,,
Crawford,2018-10,6.2,,,,,
Crawford,2018-11,7.5,,,,,
Crawford,2018-12,8.7,,,,,
Daviess,2018-01,12.8,,,,,
Daviess,2018-02,10.8,,,,,
Daviess,2018-03,12.0,,,,,
Daviess,2018-04,12.0,,,,,
Daviess,2018-05,10.6,,,,,
Daviess,2018-06,9.3,,,,,
